artist id,artist name,id,key,energy,liveness,tempo,speechiness,acousticness,instrumentalness,mode,time signature,duration,loudness,audio md5,valence,danceability,title,
Blaze Of Glory,Jon Bon Jovi, unable to get info,,,,,,,,,,,,,,,,
AR7R9CZ1187FB49EC2,Leona Lewis,SOAOLPN1369167B135,5,0.74749,0.211438,121.933,0.041538,0.052532,0,1,4,221.28571,-4.858,97e34ebd6724ad03d73edbbd46664628,0.534921,0.63425,Bleeding Love,
Blow,Kesha, unable to get info,,,,,,,,,,,,,,,,
ARZRYXF1187FB555CC,P!nk,SOPHKML1463B435B7D,7,0.876743,0.085051,126.999,0.056631,0.001596,0.163379,1,4,353.59302,-5.925,8ac4570238f36d89d8b28e139967a6fd,0.428323,0.60521,Blow Me (One Last Kiss) - Firebeatz Club Mix,
AROKXVO1187FB4D0E9,Paula Abdul,SOMVZNE14616BDFF93,6,0.537772,0.237093,147.871,0.033748,0.587558,1.00E-06,0,4,281.83955,-9.07,cbc8b433bad039d6e985c0bd0bfd9ade,0.280142,0.528212,Blowing Kisses In The Wind,
AR6JVK31187FB58FE3,Eiffel 65,SOGADJF145B45D02E2,7,0.952987,0.241984,128.02,0.030795,0.00067,0.529002,0,4,216.27955,-3.912,2ddc19ea9a85490f40619256ab74e998,0.870649,0.626361,Blue,
AROETUE1187FB4A677,Robin Thicke,SOZWJHQ146002709FB,7,0.335597,0.051082,119.985,0.067942,0.009258,6.30E-05,1,4,273.21556,-13.722,706bd354283f3a69b274e37b624362d6,0.889898,0.853794,Blurred Lines,
ARSCSKH1187B9B95EE,Puddle of Mudd,SOCGTFH145FC30458E,3,0.873099,0.145652,157.519,0.047337,0.001716,0,0,4,259.67955,-6.906,f6881d5e18f949061cf869417affffe0,0.462743,0.427689,Blurry,
ARZZW831187B98FE3D,Public Announcement,SOVRQWM12C106D00A3,1,0.11494,0.385397,122.121,0.077715,0.044253,1.00E-06,0,4,224.44363,-15.84,a1b97cb1e9ff21db20deb9c5e5f9404a,0.398823,0.771056,Body Bumpin' Yippie-Yi-Yo,
ARL4TII1187B9B46E1,Queen,SOALLXT13E90616796,3,0.163675,0.088625,71.337,0.051346,0.062664,1.10E-05,1,4,364.48803,-22.19,93cab0d6c0e75d9fed00b9293debdb64,0.237069,0.379808,Bohemian Rhapsody,
