artist id,artist name,id,key,energy,liveness,tempo,speechiness,acousticness,instrumentalness,mode,time signature,duration,loudness,audio md5,valence,danceability,title,
Ni**as in Paris,Jay Z Kanye West, unable to get info
ARRH63Y1187FB47783,Kanye West,SOEIJXE14617261992,1,0.487856,0.111568,119.603,0.034916,0.044256,0.480218,0,4,270.30621,-9.28,86f4d5ee69eddfac9813b4683c5556d4,0.112562,0.755624,Love Lockdown,
ARBS1OC1187FB44CAF,T.I.,SOEEFNB1311AFE50AA,7,0.891624,0.097727,160.124,0.280609,0.051525,0.0,1,4,289.38621,-4.173,12c3541642cb1f2bae1f36c72265f5a5,0.421385,0.509005,Live Your Life,
ARXSWYK12BF959F4BC,Montell Jordan,SOCMOBA13775559BB3,1,0.62894,0.250045,122.066,0.140852,0.027949,0.0,1,4,291.36,-4.281,,0.510279,0.790012,Let's Ride,
ARRH63Y1187FB47783,Kanye West,SOMRDNC136CB079C0E,1,0.66985,0.070665,92.403,0.340667,0.016599,0.0,0,4,207.62667,-6.095,,0.645962,0.682832,Gold Digger,
ARKU3Z61187FB51DCA,Rihanna,SOEFXQB141E929B3BA,11,0.68161,0.223851,125.976,0.060843,0.128999,0.001016,0,4,252.02893,-7.878,9eaf9ba354faafeea074f8c8ed556228,0.961642,0.797822,Only Girl in the World,
AR7C6G11187B9B4C1E,Jennifer Lopez,SOKODVZ14473A835EE,3,0.79302,0.201343,129.957,0.034978,0.012387,,0,4,221.25669,-7.292,78622cac48c539945ae20512f253710c,0.683987,0.709438,On The Floor,
ARKU3Z61187FB51DCA,Rihanna,SOHPWIT14875A4D354,6,0.611733,0.07432,122.696,0.065599,0.038352,0.0005,0,4,186.13288,-7.881,383b4f2abf1b1dc01133b19f4aed6e04,0.611878,0.845459,Don't Stop the Music,
SOS,Rihanna, unable to get info
ARAWOLW1187FB3AB70,Ne-Yo,SOSUSAC13ADC03F346,10,0.316329,0.1122,109.953,0.035565,0.622633,0.0,0,4,225.51465,-16.574,6e6e9191fa24046524f853c3210a202d,0.830758,0.768318,Because Of You,
ARQFENL121318C58A6,Jeremih,SOWXQTW14B7C799FE5,2,0.529035,0.076371,80.921,0.275184,0.013667,0.0,1,4,142.5,-10.034,,0.533173,0.710277,Down on Me,
ARFCWSZ123526A0AFD,Justin Bieber,SOQZFRX140168CFEF5,8,0.891486,0.159475,165.411,0.439208,0.161557,0.0,1,5,215.71955,-5.109,ac291f8e686833e680c44c559e20653b,0.457541,0.470843,Baby,
ARKU3Z61187FB51DCA,Rihanna,SOZXCHH144BE54ACDA,11,0.82616,0.235391,124.891,0.059296,0.104433,0.0,0,4,240.66621,-3.912,fd6af90fdb9e33cd4072468384eedd33,0.714178,0.702853,Disturbia,
S&M,Rihanna, unable to get info
ARWLAEE122BCFCA245,Avicii,SOCVLCL1474433CCFB,2,0.762248,0.331853,124.173,0.051483,0.006064,0.00323,1,4,268.78667,-5.926,,0.54047,0.515403,Wake Me Up,
ARRH63Y1187FB47783,Kanye West,SOUTUQC144BF242A51,10,0.442216,0.125277,87.908,0.191452,0.034401,0.0,0,4,187.13288,-16.093,1c3e620ea9d386255720b062b80cb48e,0.637348,0.817233,Heartless,
ARKSZW81187B9B695D,Mariah Carey,SOCFCRJ14A782F3FAD,11,0.59973,0.867648,78.531,0.084631,0.307802,0.0,0,4,200.59887,-13.733,,0.8118,0.624856,Touch My Body - Live,
ARQFENL121318C58A6,Jeremih,SOIYOQL14615212C4C,2,0.466618,0.123406,120.003,0.053395,0.286072,0.0,0,4,226.72,-7.612,,0.401314,0.736696,Birthday Sex,
ARKU3Z61187FB51DCA,Rihanna,SOYKAGM13AEB3215BC,9,0.279837,0.102205,85.408,0.122655,0.278592,0.0,1,4,215.30077,-18.012,e39ae49ebecd09efd918cc9dd2286f44,0.61976,0.714662,Take A Bow,
ARKU3Z61187FB51DCA,Rihanna,SOFDUCZ144BE2BDE65,1,0.839867,0.072039,125.003,0.062131,0.000107,1.8e-05,1,4,238.23955,-3.252,c91a946fde178b9e655576111fb0da7f,0.790249,0.768548,Umbrella,
ARKSZW81187B9B695D,Mariah Carey,SOPWCSL13D9DCAFC08,7,0.858255,0.330385,130.009,0.033721,0.040898,0.010584,0,4,220.79955,-6.44,88996c31776442d98c705f2f26a7d1e4,0.882722,0.668289,Don't Forget About Us,
ARKU3Z61187FB51DCA,Rihanna,SONIZRJ144D8FD1312,6,0.741816,0.05969,87.015,0.086481,0.114852,0.0,1,4,223.04,-5.034,0c7d732156ffbcdce92df5545c8d2a73,0.792016,0.634123,Rude Boy,
AR7NPRY1187B9ADE15,Ludacris,SOCCSGO13C5A555E9A,1,0.699807,0.375886,90.806,0.246719,0.464121,1e-06,1,4,252.08118,-7.462,137204eb226441b8b82b6baf6bebed3d,0.812945,0.517673,Runaway Love,
ARKU3Z61187FB51DCA,Rihanna,SODEMWF13E5B652F0C,9,0.321286,0.116749,111.889,0.026263,0.957242,0.000565,0,4,236.59057,-11.83,1479a5ff57d05eb89af0b4a90b09e909,0.110921,0.617645,Stay,
ARKU3Z61187FB51DCA,Rihanna,SOYDWFD13D0E031AC8,11,0.73288,0.138639,91.819,0.058992,0.001254,0.0,0,4,225.46531,-4.503,8479a209b2d0672b50cdce7adfadf754,0.410932,0.462979,Diamonds,
ARCDPOW12FE0863408,Lawid, Kennedy, Jay-Z, T.I.,SOARVZB13134386D3C,4,0.762606,0.378498,88.505,0.305728,0.000993,0.0,1,4,307.93098,-6.101,1ceaadafe1a4cb32a4e0b84db3ced8cd,0.256498,0.43076,Swagga like us (Le remix du remix),
AR6O2E61187B9A390B,Rhythm Syndicate,SOXRBTS136F27DD637,6,0.638519,0.443886,113.97,0.042278,0.121756,0.009765,1,4,220.73424,-14.996,7d985fac658238502d4011293310a154,0.882211,0.792407,P.A.S.S.I.O.N. (91),
ARDCFNZ1187FB3DDB0,Enrique Iglesias,SOULRLO144BE5554AB,1,0.847058,0.055317,122.009,0.032235,0.036918,0.002164,0,4,219.47955,-6.105,9fa62a62c215e35e70142d7d8bb9ded4,0.542828,0.684096,Be With You,
ARTDQRC1187FB4EFD4,The Black Eyed Peas,SOEDJJG144F4FCDEBC,0,0.285753,0.041036,93.967,0.21234,0.347016,4e-06,0,4,236.97556,-21.913,076439b137079bee3d332d6707a71b20,0.18792,0.470472,Just Can't Get Enough,
ARX6TAQ11C8A415850,Lady Gaga,SOCLGAH13E907C2EF6,10,0.571316,0.180277,121.929,0.371775,0.039278,0.000186,0,4,567.71955,-16.907,9188a77268cd96af8b629cd64f9c5b24,0.439318,0.569633,Telephone,
Scream & Shout,will.i.am, unable to get info
AR47GV91187B996D90,Keri Hilson,SOWMBHD1366EE0E030,8,0.497899,0.104947,154.932,0.078234,0.071362,0.001297,1,4,270.73261,-15.699,6aa0e994e26a711d15c425f14f3b5cc1,0.816189,0.520562,Knock You Down,
ARX6TAQ11C8A415850,Lady Gaga,SOSNZVC14373B74467,6,0.334675,0.367351,104.937,0.084539,0.005549,1e-06,0,4,223.48757,-19.052,7f59ff0d960764489c60907147038c70,0.866856,0.877497,LoveGame,
ARTDQRC1187FB4EFD4,The Black Eyed Peas,SODTEQM1316771746F,3,0.564554,0.098805,128.971,0.033034,0.084108,0.000481,1,4,225.08,-6.856,,0.369046,0.689451,Love You Long Time,
ARKTTJV12592CDA07F,Ellie Goulding,SOUQXPD13A000699B8,8,0.40024,0.108577,122.465,0.040784,0.061945,0.004081,0,4,205.03465,-18.867,424abd733efc82fd441f28bba245a954,0.861769,0.672486,Lights,
ARTH9041187FB43E1F,Eminem,SOPIWVX143A0AC16B4,9,0.58358,0.085115,110.035,0.274634,0.068182,0.0,1,4,324.40757,-14.204,9a84813b61acbd2d8547dc19aa3f3189,0.582503,0.718454,The Monster,
ARDWOW81187FB3B574,Marky Mark and The Funky Bunch,SOIZNSA14C47FFE6B2,1,0.96433,0.043747,121.575,0.075011,0.000567,0.426043,1,4,269.54667,-4.559,,0.772712,0.680464,Good Vibrations,
ARF5M7Q1187FB501E8,Maroon 5,SOEGBKO1366A9F2CE8,4,0.885358,0.047439,127.984,0.179967,0.055573,9e-05,0,4,382.91955,-4.381,b355a082046dd6b0a4d2f1510b727ece,0.816654,0.759055,Moves Like Jagger,
ARPVCLJ1187B9AC403,No Doubt,SOAITSF144BD04A32B,11,0.872043,0.227594,93.63,0.125288,0.060247,0.0,0,4,207.04,-3.557,,0.746963,0.705073,Hey Baby,
ARX6TAQ11C8A415850,Lady Gaga,SOQRTFS137416CE3B5,11,0.862996,0.961211,123.98,0.208171,0.00386,0.000163,1,4,220.13288,-4.835,99cae01393eae7e7ba4fc585891472aa,0.569622,0.595439,Born This Way,
ARX6TAQ11C8A415850,Lady Gaga,SOVZRBP13DC9F3F881,9,0.98161,0.327277,145.01,0.059383,0.006925,0.328453,1,4,222.48444,-7.179,73641be2ad607b871035e1e67dcbf24e,0.747896,0.685744,Just Dance,
ARLK6VL1187B9B8850,Timbaland,SOKLDIS144E0A4E14F,8,0.62379,0.086752,110.618,0.071326,0.161908,0.035564,1,4,212.49288,-6.559,36071d97af0f6c41c1025fc374db79a9,0.843089,0.969064,Give It To Me,
ARVBRGZ1187FB4675A,Gwen Stefani,SOTJVVY13AA4E80F4F,3,0.454049,0.116012,122.434,0.041707,0.185395,0.0,0,4,235.91138,-15.329,5a96d10e415c6ee0cc87f44058d6a95b,0.752904,0.75906,The Sweet Escape,
ARX6TAQ11C8A415850,Lady Gaga,SOJQEHX14373B7C1D0,7,0.770814,0.100571,139.937,0.054241,0.029478,2e-06,0,4,212.86667,-4.276,,0.697666,0.668247,Applause,
ARMRCET1187FB52049,Fergie,SOCMLJT144D9F50039,8,0.559902,0.386442,129.074,0.373754,0.058122,1e-06,0,4,260.72,-9.305,,0.85169,0.892173,Fergalicious,
ARLK6VL1187B9B8850,Timbaland,SOAHATS14605DEDF8F,8,0.502114,0.103293,118.033,0.029837,0.03347,0.0,1,4,183.83737,-9.363,,0.121748,0.660039,Apologize,
AROETUE1187FB4A677,Robin Thicke,SOZWJHQ146002709FB,7,0.335597,0.051082,119.985,0.067942,0.009258,6.3e-05,1,4,273.21556,-13.722,706bd354283f3a69b274e37b624362d6,0.889898,0.853794,Blurred Lines,
ARVN9FZ1187FB393F1,Snow Patrol,SOKZMKK1351CBE213E,9,0.543195,0.084061,104.051,0.025718,0.020292,9e-06,1,4,247.13288,-5.983,87008c834ec7764792c53693cc5000f2,0.112005,0.540558,Chasing Cars,
